function,size,flags,build,module_sha256,classification,address,hit_count,similarity,relocation_masked_sha256,unavailable_reason
CompressInit,94,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.685714,02d2926a5bf536a54c904bcb58b13604bd900ad79f7b41e7b4c8cf06f85c40fd,
CompressInit,94,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,absent-or-stripped,,0,0.685714,02d2926a5bf536a54c904bcb58b13604bd900ad79f7b41e7b4c8cf06f85c40fd,
CompressInit,94,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.685714,02d2926a5bf536a54c904bcb58b13604bd900ad79f7b41e7b4c8cf06f85c40fd,
CompressInit,94,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,02d2926a5bf536a54c904bcb58b13604bd900ad79f7b41e7b4c8cf06f85c40fd,no-text-section
CompressInit,94,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,02d2926a5bf536a54c904bcb58b13604bd900ad79f7b41e7b4c8cf06f85c40fd,protected-executable
Decompress,52,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,00415c10,1,1.000000,08c5436c2c1a757aa99d8640d853437ba2676511d87433c084e9de962812c516,
Decompress,52,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,004158b0,1,1.000000,08c5436c2c1a757aa99d8640d853437ba2676511d87433c084e9de962812c516,
Decompress,52,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,004158b0,1,1.000000,08c5436c2c1a757aa99d8640d853437ba2676511d87433c084e9de962812c516,
Decompress,52,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,004158b0,1,1.000000,08c5436c2c1a757aa99d8640d853437ba2676511d87433c084e9de962812c516,
Decompress,52,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,004158b0,1,1.000000,08c5436c2c1a757aa99d8640d853437ba2676511d87433c084e9de962812c516,
Decompress,52,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,08c5436c2c1a757aa99d8640d853437ba2676511d87433c084e9de962812c516,no-text-section
Decompress,52,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,08c5436c2c1a757aa99d8640d853437ba2676511d87433c084e9de962812c516,protected-executable
DecompressFini,23,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,ambiguous-generic,,1,1.000000,1a71a7db964a267e97b227a93fb0c56369eecb9619d248ffbc31d9ecf4400234,
DecompressFini,23,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,1,1.000000,1a71a7db964a267e97b227a93fb0c56369eecb9619d248ffbc31d9ecf4400234,
DecompressFini,23,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,1,1.000000,1a71a7db964a267e97b227a93fb0c56369eecb9619d248ffbc31d9ecf4400234,
DecompressFini,23,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,ambiguous-generic,,1,1.000000,1a71a7db964a267e97b227a93fb0c56369eecb9619d248ffbc31d9ecf4400234,
DecompressFini,23,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,ambiguous-generic,,1,1.000000,1a71a7db964a267e97b227a93fb0c56369eecb9619d248ffbc31d9ecf4400234,
DecompressFini,23,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,1a71a7db964a267e97b227a93fb0c56369eecb9619d248ffbc31d9ecf4400234,no-text-section
DecompressFini,23,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,1a71a7db964a267e97b227a93fb0c56369eecb9619d248ffbc31d9ecf4400234,protected-executable
DecompressInit,92,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,00415bb0,1,1.000000,f014577ffe8c54f5ee596331f0d946e2744bf4c06cd9e49f334686879dc7a84e,
DecompressInit,92,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00415850,1,1.000000,f014577ffe8c54f5ee596331f0d946e2744bf4c06cd9e49f334686879dc7a84e,
DecompressInit,92,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00415850,1,1.000000,f014577ffe8c54f5ee596331f0d946e2744bf4c06cd9e49f334686879dc7a84e,
DecompressInit,92,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,00415850,1,1.000000,f014577ffe8c54f5ee596331f0d946e2744bf4c06cd9e49f334686879dc7a84e,
DecompressInit,92,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00415850,1,1.000000,f014577ffe8c54f5ee596331f0d946e2744bf4c06cd9e49f334686879dc7a84e,
DecompressInit,92,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,f014577ffe8c54f5ee596331f0d946e2744bf4c06cd9e49f334686879dc7a84e,no-text-section
DecompressInit,92,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,f014577ffe8c54f5ee596331f0d946e2744bf4c06cd9e49f334686879dc7a84e,protected-executable
ZAlloc,20,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,00415b80,1,1.000000,700a399b5e19bf990286dbd979f67666bb7c07081a2d2a680c6ef64208752ea0,
ZAlloc,20,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00415820,1,1.000000,700a399b5e19bf990286dbd979f67666bb7c07081a2d2a680c6ef64208752ea0,
ZAlloc,20,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00415820,1,1.000000,700a399b5e19bf990286dbd979f67666bb7c07081a2d2a680c6ef64208752ea0,
ZAlloc,20,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,00415820,1,1.000000,700a399b5e19bf990286dbd979f67666bb7c07081a2d2a680c6ef64208752ea0,
ZAlloc,20,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00415820,1,1.000000,700a399b5e19bf990286dbd979f67666bb7c07081a2d2a680c6ef64208752ea0,
ZAlloc,20,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,700a399b5e19bf990286dbd979f67666bb7c07081a2d2a680c6ef64208752ea0,no-text-section
ZAlloc,20,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,700a399b5e19bf990286dbd979f67666bb7c07081a2d2a680c6ef64208752ea0,protected-executable
ZFree,13,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,00415ba0,1,1.000000,63e4417e0067e692fa73a952f0d05010d0cb3de2aa0a70158e4b77ab2ede7f80,
ZFree,13,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00415840,1,1.000000,63e4417e0067e692fa73a952f0d05010d0cb3de2aa0a70158e4b77ab2ede7f80,
ZFree,13,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00415840,1,1.000000,63e4417e0067e692fa73a952f0d05010d0cb3de2aa0a70158e4b77ab2ede7f80,
ZFree,13,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,00415840,1,1.000000,63e4417e0067e692fa73a952f0d05010d0cb3de2aa0a70158e4b77ab2ede7f80,
ZFree,13,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00415840,1,1.000000,63e4417e0067e692fa73a952f0d05010d0cb3de2aa0a70158e4b77ab2ede7f80,
ZFree,13,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,63e4417e0067e692fa73a952f0d05010d0cb3de2aa0a70158e4b77ab2ede7f80,no-text-section
ZFree,13,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,63e4417e0067e692fa73a952f0d05010d0cb3de2aa0a70158e4b77ab2ede7f80,protected-executable
